,country,buildingType,surrounding,buildingAgeBin,a_ref,n_apartments,year_type,future,climateRegion,n_persons,freq,hasFirePlace,varyoccupancy,mean_load,nightReduction,capControl,occControl,comfortT_lb,comfortT_ub,cores,useCache,building_id,run_id,seed,sum_n_persons
0,DE,AB,Terraced,DE.02,1234.5,14,cold,False,4,"[1, 2, 1, 4, 1, 1, 1, 5, 3, 2, 3, 3, 2, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,0,run_000000,1000000,30
1,DE,AB,Terraced,DE.02,1234.5,14,cold,False,4,"[1, 2, 1, 4, 1, 1, 1, 5, 3, 2, 3, 3, 2, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,0,run_000001,1000001,30
2,DE,AB,Terraced,DE.02,1234.5,14,cold,False,4,"[1, 2, 1, 4, 1, 1, 1, 5, 3, 2, 3, 3, 2, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,0,run_000002,1000002,30
3,DE,AB,Terraced,DE.02,1722.3,20,hot,True,12,"[1, 3, 2, 2, 1, 1, 4, 1, 1, 1, 2, 4, 1, 4, 1, 2, 2, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,1,run_000003,1000003,36
4,DE,AB,Terraced,DE.02,1722.3,20,hot,True,12,"[1, 3, 2, 2, 1, 1, 4, 1, 1, 1, 2, 4, 1, 4, 1, 2, 2, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,1,run_000004,1000004,36
5,DE,AB,Terraced,DE.02,1722.3,20,hot,True,12,"[1, 3, 2, 2, 1, 1, 4, 1, 1, 1, 2, 4, 1, 4, 1, 2, 2, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,1,run_000005,1000005,36
6,DE,AB,Terraced,DE.02,1976.7,19,hot,False,7,"[2, 2, 1, 1, 2, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,2,run_000006,1000006,30
7,DE,AB,Terraced,DE.02,1976.7,19,hot,False,7,"[2, 2, 1, 1, 2, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,2,run_000007,1000007,30
8,DE,AB,Terraced,DE.02,1976.7,19,hot,False,7,"[2, 2, 1, 1, 2, 3, 3, 1, 1, 1, 1, 2, 1, 1, 1, 2, 1, 3, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,2,run_000008,1000008,30
9,DE,AB,Terraced,DE.02,1132.7,13,average,False,2,"[2, 1, 2, 3, 1, 2, 1, 2, 1, 4, 1, 4, 3]",1min,False,1,False,True,True,False,21.0,24.0,1,False,3,run_000009,1000009,27
10,DE,AB,Terraced,DE.02,1132.7,13,average,False,2,"[2, 1, 2, 3, 1, 2, 1, 2, 1, 4, 1, 4, 3]",1min,False,1,False,True,True,False,21.0,24.0,1,False,3,run_000010,1000010,27
11,DE,AB,Terraced,DE.02,1132.7,13,average,False,2,"[2, 1, 2, 3, 1, 2, 1, 2, 1, 4, 1, 4, 3]",1min,False,1,False,True,True,False,21.0,24.0,1,False,3,run_000011,1000011,27
12,DE,AB,Terraced,DE.02,1495.7,18,hot,False,13,"[2, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 4, 2, 1, 1, 5, 2, 4]",1min,False,1,False,True,True,False,21.0,24.0,1,False,4,run_000012,1000012,36
13,DE,AB,Terraced,DE.02,1495.7,18,hot,False,13,"[2, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 4, 2, 1, 1, 5, 2, 4]",1min,False,1,False,True,True,False,21.0,24.0,1,False,4,run_000013,1000013,36
14,DE,AB,Terraced,DE.02,1495.7,18,hot,False,13,"[2, 1, 1, 1, 1, 1, 4, 1, 1, 2, 2, 4, 2, 1, 1, 5, 2, 4]",1min,False,1,False,True,True,False,21.0,24.0,1,False,4,run_000014,1000014,36
15,DE,AB,Terraced,DE.02,1793.7,20,average,False,4,"[2, 3, 1, 3, 1, 3, 4, 2, 2, 3, 1, 1, 1, 2, 2, 2, 3, 1, 2, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,5,run_000015,1000015,40
16,DE,AB,Terraced,DE.02,1793.7,20,average,False,4,"[2, 3, 1, 3, 1, 3, 4, 2, 2, 3, 1, 1, 1, 2, 2, 2, 3, 1, 2, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,5,run_000016,1000016,40
17,DE,AB,Terraced,DE.02,1793.7,20,average,False,4,"[2, 3, 1, 3, 1, 3, 4, 2, 2, 3, 1, 1, 1, 2, 2, 2, 3, 1, 2, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,5,run_000017,1000017,40
18,DE,AB,Terraced,DE.02,2111.3,20,cold,True,5,"[1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 4, 2, 2]",1min,False,1,False,True,True,False,21.0,24.0,1,False,6,run_000018,1000018,37
19,DE,AB,Terraced,DE.02,2111.3,20,cold,True,5,"[1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 4, 2, 2]",1min,False,1,False,True,True,False,21.0,24.0,1,False,6,run_000019,1000019,37
20,DE,AB,Terraced,DE.02,2111.3,20,cold,True,5,"[1, 1, 1, 2, 2, 2, 2, 2, 1, 2, 2, 1, 2, 1, 2, 2, 3, 4, 2, 2]",1min,False,1,False,True,True,False,21.0,24.0,1,False,6,run_000020,1000020,37
21,DE,AB,Terraced,DE.02,1106.4,13,average,True,9,"[1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,7,run_000021,1000021,17
22,DE,AB,Terraced,DE.02,1106.4,13,average,True,9,"[1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,7,run_000022,1000022,17
23,DE,AB,Terraced,DE.02,1106.4,13,average,True,9,"[1, 1, 1, 2, 1, 1, 1, 1, 4, 1, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,7,run_000023,1000023,17
24,DE,AB,Terraced,DE.02,2007.0,20,average,False,11,"[2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 2, 5, 2, 1, 2, 4, 2, 4]",1min,False,1,False,True,True,False,21.0,24.0,1,False,8,run_000024,1000024,40
25,DE,AB,Terraced,DE.02,2007.0,20,average,False,11,"[2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 2, 5, 2, 1, 2, 4, 2, 4]",1min,False,1,False,True,True,False,21.0,24.0,1,False,8,run_000025,1000025,40
26,DE,AB,Terraced,DE.02,2007.0,20,average,False,11,"[2, 1, 1, 1, 1, 4, 1, 1, 2, 1, 1, 2, 2, 5, 2, 1, 2, 4, 2, 4]",1min,False,1,False,True,True,False,21.0,24.0,1,False,8,run_000026,1000026,40
27,DE,AB,Terraced,DE.02,1888.9,20,average,True,6,"[3, 1, 2, 2, 1, 1, 3, 2, 1, 3, 1, 3, 1, 2, 1, 1, 3, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,9,run_000027,1000027,34
28,DE,AB,Terraced,DE.02,1888.9,20,average,True,6,"[3, 1, 2, 2, 1, 1, 3, 2, 1, 3, 1, 3, 1, 2, 1, 1, 3, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,9,run_000028,1000028,34
29,DE,AB,Terraced,DE.02,1888.9,20,average,True,6,"[3, 1, 2, 2, 1, 1, 3, 2, 1, 3, 1, 3, 1, 2, 1, 1, 3, 1, 1, 1]",1min,False,1,False,True,True,False,21.0,24.0,1,False,9,run_000029,1000029,34
30,DE,AB,Terraced,DE.02,1077.7,13,average,True,14,"[2, 2, 1, 1, 5, 2, 3, 4, 2, 1, 2, 1, 2]",1min,False,1,False,True,True,False,21.0,24.0,1,False,10,run_000030,1000030,28
